database,alloy,T_C,phase,label,set_index,fraction
PrecHiMn-04,llm,1220.0,A1_FCC,A1_FCC,0,1.0000000000208253
PrecHiMn-04,llm,1230.0,A1_FCC,A1_FCC,0,1.0000000000181188
PrecHiMn-04,llm,1240.0,A1_FCC,A1_FCC,0,1.0000000000068403
PrecHiMn-04,llm,1250.0,A1_FCC,A1_FCC,0,1.0000000000102658
PrecHiMn-04,llm,1260.0,A1_FCC,A1_FCC,0,1.0000000000100475
PrecHiMn-04,llm,1270.0,A1_FCC,A1_FCC,0,1.0000000000117455
PrecHiMn-04,llm,1280.0,A1_FCC,A1_FCC,0,1.0000000000086111
PrecHiMn-04,llm,1290.0,A1_FCC,A1_FCC,0,1.0000000000071543
PrecHiMn-04,llm,1300.0,LIQUID,LIQUID,0,0.19156564446675312
PrecHiMn-04,llm,1300.0,A1_FCC,A1_FCC,1,0.808434355551253
PrecHiMn-04,llm,1310.0,LIQUID,LIQUID,0,0.4273960449672804
PrecHiMn-04,llm,1310.0,A1_FCC,A1_FCC,1,0.5726039550922687
PrecHiMn-04,llm,1320.0,LIQUID,LIQUID,0,0.6993734836773681
PrecHiMn-04,llm,1320.0,A1_FCC,A1_FCC,1,0.30062651638080373
PrecHiMn-04,llm,1330.0,LIQUID,LIQUID,0,1.0000000000579214
PrecHiMn-04,llm,1340.0,LIQUID,LIQUID,0,1.0000000000421738
PrecHiMn-04,llm,1350.0,LIQUID,LIQUID,0,1.0000000000814837
PrecHiMn-04,llm,1360.0,LIQUID,LIQUID,0,1.0000000000328961
PrecHiMn-04,llm,1370.0,LIQUID,LIQUID,0,1.000000000036438
PrecHiMn-04,llm,1380.0,LIQUID,LIQUID,0,1.0000000000135
PrecHiMn-04,llm,1390.0,LIQUID,LIQUID,0,1.0000000000236025
PrecHiMn-04,llm,1400.0,LIQUID,LIQUID,0,1.000000000069668
PrecHiMn-04,llm_noC,1280.0,BCC_4SL,BCC_4SL[A2],0,1.000000000027818
PrecHiMn-04,llm_noC,1290.0,BCC_4SL,BCC_4SL[A2],0,1.0000000000201734
PrecHiMn-04,llm_noC,1300.0,BCC_4SL,BCC_4SL[A2],0,0.9468541664473478
PrecHiMn-04,llm_noC,1300.0,LIQUID,LIQUID,1,0.053145833628705966
PrecHiMn-04,llm_noC,1310.0,BCC_4SL,BCC_4SL[A2],0,0.8828417426228058
PrecHiMn-04,llm_noC,1310.0,LIQUID,LIQUID,1,0.11715825746000924
PrecHiMn-04,llm_noC,1320.0,BCC_4SL,BCC_4SL[A2],0,0.8145706272733363
PrecHiMn-04,llm_noC,1320.0,LIQUID,LIQUID,1,0.18542937277759694
PrecHiMn-04,llm_noC,1330.0,BCC_4SL,BCC_4SL[A2],0,0.7400195301925299
PrecHiMn-04,llm_noC,1330.0,LIQUID,LIQUID,1,0.25998047002077146
PrecHiMn-04,llm_noC,1340.0,LIQUID,LIQUID,0,0.3435802650874286
PrecHiMn-04,llm_noC,1340.0,BCC_4SL,BCC_4SL[A2],1,0.6564197350106484
PrecHiMn-04,llm_noC,1350.0,BCC_4SL,BCC_4SL[A2],0,0.5599258745186223
PrecHiMn-04,llm_noC,1350.0,LIQUID,LIQUID,1,0.4400741255924694
PrecHiMn-04,llm_noC,1360.0,BCC_4SL,BCC_4SL[A2],0,0.4451696223448283
PrecHiMn-04,llm_noC,1360.0,LIQUID,LIQUID,1,0.5548303777036848
PrecHiMn-04,llm_noC,1370.0,BCC_4SL,BCC_4SL[A2],0,0.30473824108166286
PrecHiMn-04,llm_noC,1370.0,LIQUID,LIQUID,1,0.695261758886574
PrecHiMn-04,llm_noC,1380.0,BCC_4SL,BCC_4SL[A2],0,0.12876751571638076
PrecHiMn-04,llm_noC,1380.0,LIQUID,LIQUID,1,0.8712324843442638
PrecHiMn-04,llm_noC,1390.0,LIQUID,LIQUID,0,1.0000000000842482
PrecHiMn-04,llm_noC,1400.0,LIQUID,LIQUID,0,1.0000000000327742
